merge_cell_id,taxon_id,output_column,old_value,cell_resolution_status_zh,accepted_values,candidate_ids,review_decision_ids,source_ids,evidence_ids
MCELL-0038,Procladius_sp.,voltinism__multivoltine_gt_1_generation_per_year,,不合并：同一单元格存在多个已审定但不一致的候选值，需要下一轮明确选择。,0 | 3,CAND_PROCLADIUS_SP_P0_005; CAND_PROCLADIUS_SP_FULL_011,RGD-0043; RGD-0049,fu_2022_fevo922539; specziar_2008_procladius_life_history,EV_FU2022_PROCLADIUS_SP_001; EV_SPECZIAR2008_PROCLADIUS_CHOREUS_LIFE_001
MCELL-0040,Procladius_sp.,voltinism__univoltine_1_generation_per_year,,不合并：同一单元格存在多个已审定但不一致的候选值，需要下一轮明确选择。,0 | 3,CAND_PROCLADIUS_SP_P0_004; CAND_PROCLADIUS_SP_FULL_010,RGD-0042; RGD-0048,fu_2022_fevo922539; specziar_2008_procladius_life_history,EV_FU2022_PROCLADIUS_SP_001; EV_SPECZIAR2008_PROCLADIUS_CHOREUS_LIFE_001
MCELL-0041,Sinanodonta_sp.,aquatic_stage__egg_larva_aquatic,,不合并：同一单元格存在多个已审定但不一致的候选值，需要下一轮明确选择。,1 | 3,CAND_SINANODONTA_SP_FULL_013; CAND_SINANODONTA_SP_FULL_022,RGD-0064; RGD-0073,korean_stream_macroinvertebrate_v1_2; douda_2024_sinanodonta_review,EV_KOREAN_ANODONTA_GENUS_001; EV_DOUDA2024_SINANODONTA_LIFE_001
MCELL-0042,Sinanodonta_sp.,aquatic_stage__fully_aquatic,,不合并：同一单元格存在多个已审定但不一致的候选值，需要下一轮明确选择。,1 | 3,CAND_SINANODONTA_SP_FULL_014; CAND_SINANODONTA_SP_FULL_023,RGD-0065; RGD-0074,korean_stream_macroinvertebrate_v1_2; douda_2024_sinanodonta_review,EV_KOREAN_ANODONTA_GENUS_001; EV_DOUDA2024_SINANODONTA_LIFE_001
MCELL-0051,Sinanodonta_sp.,voltinism__multivoltine_gt_1_generation_per_year,,不合并：同一单元格存在多个已审定但不一致的候选值，需要下一轮明确选择。,0 | 2,CAND_SINANODONTA_SP_P0_005; CAND_SINANODONTA_SP_FULL_019,RGD-0056; RGD-0070,fu_2022_fevo922539; korean_stream_macroinvertebrate_v1_2,EV_FU2022_SINANODONTA_SP_001; EV_KOREAN_ANODONTA_GENUS_001
MCELL-0053,Sinanodonta_sp.,voltinism__univoltine_1_generation_per_year,,不合并：同一单元格存在多个已审定但不一致的候选值，需要下一轮明确选择。,2 | 3,CAND_SINANODONTA_SP_P0_004; CAND_SINANODONTA_SP_FULL_018,RGD-0055; RGD-0069,fu_2022_fevo922539; korean_stream_macroinvertebrate_v1_2,EV_FU2022_SINANODONTA_SP_001; EV_KOREAN_ANODONTA_GENUS_001
